silhouette,rand_index,rand_index_adjusted,mutual_info,mutual_info_normalized,dim_reduc,n_dims,knn_implementation,n_trial,tol,log_likelihood
0.47278583,0.9449102457884563,0.7029552935776684,1.8084665055928997,0.7946569359817547,tsne,2,own,0,1.0,-51528.35494383931
0.48174876,0.9473184203258769,0.7164289827567484,1.8289694946554458,0.8038716474008507,tsne,2,own,1,1.0,-51526.55046210927
0.43536824,0.9471306268986468,0.7197184526617105,1.8014174121813877,0.7993023385672072,tsne,2,own,2,1.0,-51552.472290875216
0.4914025,0.9494172880419773,0.7289960435691232,1.8519861549565728,0.8147024350801628,tsne,2,own,0,0.5,-51519.96649587488
0.49775302,0.9500469483568075,0.734954446103045,1.866308435998076,0.823352065560722,tsne,2,own,1,0.5,-51368.523651958865
0.49775302,0.9500469483568075,0.734954446103045,1.866308435998076,0.823352065560722,tsne,2,own,2,0.5,-51369.398197164075
0.49328655,0.9501574150787075,0.7345400065042147,1.870361184831795,0.8236825368568348,tsne,2,own,0,0.1,-51369.33168971514
0.49346858,0.9501021817177575,0.7342835349169964,1.869955507754459,0.8235571698486653,tsne,2,own,1,0.1,-51368.79298757871
0.49362054,0.9500690417011876,0.7341699077599146,1.8695764336904022,0.8234792375333387,tsne,2,own,2,0.1,-51368.87220969159
0.4936208,0.9504556752278376,0.7361659628299155,1.8717549915250622,0.8243496901814545,tsne,2,own,0,0.05,-51368.75775252845
0.4959208,0.9499585749792875,0.7340846341670084,1.8672836623570956,0.8231909792213232,tsne,2,own,1,0.05,-51368.720423667866
0.49328274,0.9503341618337476,0.7354813539988806,1.8712588470982712,0.8240778555465554,tsne,2,own,2,0.05,-51368.76314106674
0.49346858,0.9501021817177575,0.7342835349169964,1.869955507754459,0.8235571698486653,tsne,2,own,0,0.01,-51368.75951282473
0.4936208,0.9504556752278376,0.7361659628299155,1.8717549915250622,0.8243496901814545,tsne,2,own,1,0.01,-51368.75725794202
0.49328655,0.9501574150787075,0.7345400065042147,1.870361184831795,0.8236825368568348,tsne,2,own,2,0.01,-51368.77125934328
0.49328655,0.9501574150787075,0.7345400065042147,1.870361184831795,0.8236825368568348,tsne,2,own,0,0.005,-51368.781995634345
0.49346858,0.9501021817177575,0.7342835349169964,1.869955507754459,0.8235571698486653,tsne,2,own,1,0.005,-51368.73766563463
0.49913648,0.9501242750621375,0.7356014171888178,1.8658451087544918,0.8235048054291392,tsne,2,own,2,0.005,-51367.37457306941
0.49887326,0.9500469483568075,0.734954446103045,1.866308435998076,0.823352065560722,tsne,2,own,0,0.001,-51367.9979755233
0.49913648,0.9501242750621375,0.7356014171888178,1.8658451087544918,0.8235048054291392,tsne,2,own,1,0.001,-51367.41965663925
0.49346858,0.9501021817177575,0.7342835349169964,1.869955507754459,0.8235571698486653,tsne,2,own,2,0.001,-51368.75193037025
0.49913648,0.9501242750621375,0.7356014171888178,1.8658451087544918,0.8235048054291392,tsne,2,own,0,0.0005,-51367.78711745192
0.49913648,0.9501242750621375,0.7356014171888178,1.8658451087544918,0.8235048054291392,tsne,2,own,1,0.0005,-51367.37240731745
0.49913648,0.9501242750621375,0.7356014171888178,1.8658451087544918,0.8235048054291392,tsne,2,own,2,0.0005,-51367.568993087865
0.49913648,0.9501242750621375,0.7356014171888178,1.8658451087544918,0.8235048054291392,tsne,2,own,0,0.0001,-51367.802368396166
